x, y
1.39968, -5.99894
1.43967, -5.99327
1.48248, -5.98669
1.52716, -5.98481
1.57212, -5.9829
1.61975, -5.97694
1.66656, -5.97241
1.71908, -5.9625
1.76761, -5.95531
1.8099, -5.93229
1.81933, -5.74547
1.83376, -5.05035
1.84656, -4.09571
1.86123, -3.39938
1.8759, -3.04373
1.89158, -2.93684
1.90451, -2.85509
1.92997, -2.78258
1.95379, -2.71858
1.98858, -2.65038
2.01731, -2.58295
2.05914, -2.51343
2.10208, -2.45165
2.14651, -2.38613
2.1941, -2.32281
2.24198, -2.26918
2.29806, -2.21061
2.35847, -2.1601
2.4167, -2.11825
2.47584, -2.06915
2.54296, -2.02919
2.61095, -1.98337
2.67966, -1.93902
2.74841, -1.91465
2.81861, -1.87913
2.89794, -1.84006
2.97597, -1.80349
3.0588, -1.77708
3.15729, -1.74511
3.26071, -1.71647
3.36166, -1.68558
3.4716, -1.66404
3.58216, -1.62747
3.6869, -1.60109
3.79689, -1.58603
3.91116, -1.56279
4.02937, -1.54434
4.15294, -1.5241
4.27918, -1.50481
4.40783, -1.48614
4.5403, -1.46982
4.67675, -1.45732
4.82928, -1.43442
4.97398, -1.4144
5.12392, -1.40767
5.27502, -1.39147
5.45462, -1.37946
5.60852, -1.36675
5.78013, -1.35447
5.9585, -1.34086
6.16697, -1.32759
6.36033, -1.31077
6.55116, -1.31034
6.75273, -1.2983
6.9778, -1.28652
7.18892, -1.2747
7.41613, -1.27158
7.64693, -1.25199
7.87736, -1.25199
8.11538, -1.2443
8.36884, -1.23665
8.63148, -1.22369
8.91795, -1.21573
9.20952, -1.209
9.49595, -1.20693
9.7651, -1.2049
9.83079, -1.1978